chrI	1	532651
chrI	541589	1833002
chrI	1840802	2291152
chrI	2292744	2394002
chrI	2401667	2606341
chrI	2640554	2727321
chrI	2729978	2775852
chrI	2779504	3266288
chrI	3266838	3636552
chrI	3651552	3702910
chrI	3753076	3780198
chrI	3878680	3904040
chrI	3934510	3983667
chrI	4071625	4128251
chrI	4148760	4170402
chrI	4396825	4534101
chrI	4557761	4584020
chrI	4585201	4601035
chrI	4603260	4633201
chrI	4820650	4849051
chrI	4856294	4873777
chrI	10127635	10156004
chrI	10339474	10370978
chrI	10376634	10397004
chrI	10486253	10515603
chrI	10520334	10536553
chrI	10688262	10717123
chrI	10733919	10751903
chrI	10772903	10794943
chrI	10802194	11076606
chrI	11108586	11278553
chrI	11280402	11516862
chrI	11585304	11600447
chrI	11612328	11659054
chrI	11692864	11748450
chrI	11797554	12039982
chrI	12067454	12205642
chrI	12212087	12527999
chrI	12534720	12736804
chrI	12738754	12966104
chrI	12967904	13289117
chrI	13289924	13335487
chrI	13337592	13646840
chrI	13650874	14063876
chrI	14074042	14858737
chrI	14859505	15072387
chrII	1	579557
chrII	580452	599340
chrII	601302	621790
chrII	625602	694856
chrII	697852	873068
chrII	875602	1233961
chrII	1248790	1502738
chrII	1505176	2058005
chrII	2058598	2337882
chrII	2338505	2434655
chrII	2456271	2746599
chrII	2753776	2786998
chrII	2860429	2922808
chrII	2923008	2963509
chrII	2999825	3115928
chrII	3121943	3277134
chrII	3277236	3304160
chrII	3315885	3369259
chrII	3375812	3425595
chrII	3432982	3467179
chrII	3468109	3516809
chrII	3526910	3552896
chrII	3558446	3682079
chrII	3683789	3807219
chrII	3823093	3892629
chrII	3975860	4000550
chrII	4017310	4042859
chrII	4046982	4085210
chrII	4155581	4183560
chrII	4205405	4370086
chrII	4380110	4418260
chrII	4430960	4501492
chrII	4512207	4564509
chrII	4608202	4672944
chrII	4673596	4690910
chrII	4760234	4776208
chrII	5117759	5159609
chrII	5160359	5174259
chrII	11892829	11908984
chrII	11926579	11958920
chrII	11980384	12098729
chrII	12102179	12338101
chrII	12348429	12459693
chrII	12461179	12494404
chrII	12494823	12768140
chrII	12768630	12803080
chrII	12805117	12943678
chrII	12957380	12987242
chrII	12997930	13008780
chrII	13030129	13285880
chrII	13291430	13333580
chrII	13335636	13817622
chrII	13835927	14042236
chrII	14045630	14403732
chrII	14408293	14795720
chrII	14797526	15257330
chrIII	1	349839
chrIII	351139	1163103
chrIII	1178503	1218100
chrIII	1224903	1618476
chrIII	1623453	1679253
chrIII	1679553	1922253
chrIII	1930964	2099403
chrIII	2100253	3390244
chrIII	3393802	3536778
chrIII	3541670	3604103
chrIII	3608854	3667414
chrIII	3682063	3695792
chrIII	3928577	3955604
chrIII	5349154	5366554
chrIII	9923666	9944938
chrIII	9976066	10064816
chrIII	10064849	10092678
chrIII	10097616	10114266
chrIII	10124416	10205147
chrIII	10215916	10270908
chrIII	10270958	10316985
chrIII	10335379	10380558
chrIII	10382084	10407405
chrIII	10409517	10460301
chrIII	10463734	10630620
chrIII	10652198	10706364
chrIII	10708112	10739858
chrIII	10741958	10809003
chrIII	10818470	11468975
chrIII	11471020	11823720
chrIII	11825723	12369070
chrIII	12369822	12597850
chrIII	12618926	13061820
chrIII	13069698	13643920
chrIII	13644176	13714750
chrIII	13719109	13783656
chrIV	26	124401
chrIV	141551	390625
chrIV	392828	654451
chrIV	658203	1824502
chrIV	1824597	1910902
chrIV	1912672	2219692
chrIV	2220538	2601052
chrIV	2602375	2993163
chrIV	3001402	3037607
chrIV	3050783	3295267
chrIV	3312752	3338002
chrIV	3351380	3367602
chrIV	3383851	3515801
chrIV	3523401	3737709
chrIV	3761207	3807182
chrIV	3877351	4001694
chrIV	4051301	4185876
chrIV	4192051	4244851
chrIV	4249411	4310788
chrIV	4314610	4357630
chrIV	4361040	4395016
chrIV	4414470	4434571
chrIV	4476335	4509237
chrIV	4585352	4607607
chrIV	4607857	4641483
chrIV	4762084	4796443
chrIV	4797427	5075720
chrIV	5093603	5159253
chrIV	5189893	5207603
chrIV	5209616	5316490
chrIV	5316790	5353405
chrIV	5373704	5392405
chrIV	5394554	5492585
chrIV	5560394	5588106
chrIV	5609740	5651655
chrIV	5691705	5730405
chrIV	5777066	5811455
chrIV	5857955	5911505
chrIV	6122900	6155054
chrIV	6157106	6318931
chrIV	6376656	6414956
chrIV	6424656	6473142
chrIV	6479811	6520756
chrIV	6529566	6545506
chrIV	6667677	6745906
chrIV	8570006	8589556
chrIV	10574759	10621009
chrIV	10637509	10655959
chrIV	10984677	11020346
chrIV	11044810	11078558
chrIV	11155146	11176258
chrIV	11209258	11293258
chrIV	12013432	12027487
chrIV	12059008	12078658
chrIV	12222367	12254209
chrIV	12284097	12328304
chrIV	12340759	12352416
chrIV	12473964	12542208
chrIV	12634748	12724162
chrIV	12726913	12793415
chrIV	12853256	12996232
chrIV	13042911	13088939
chrIV	13100793	13778582
chrIV	13780432	13880558
chrIV	13890908	14071134
chrIV	14076939	14763567
chrIV	14798358	14820208
chrIV	14826308	15028970
chrIV	15043593	15646418
chrIV	15649208	16392375
chrIV	16416222	16482794
chrIV	16501870	16646164
chrIV	16659654	17277436
chrIV	17281992	17493752
chrV	6065	773582
chrV	775083	1151496
chrV	1155005	1262203
chrV	1265124	1377822
chrV	1383436	1467873
chrV	1477318	1564852
chrV	1589335	1820374
chrV	1822131	1862922
chrV	1875122	2123874
chrV	2129572	2672791
chrV	2673628	2785730
chrV	2791130	3189072
chrV	3194351	3444171
chrV	3449754	3580981
chrV	3588664	3700728
chrV	3708723	3745900
chrV	3761651	4142847
chrV	4146957	4340547
chrV	4374589	4432582
chrV	4433123	4490823
chrV	4523123	4569523
chrV	4569873	4687851
chrV	4693623	4731487
chrV	4733927	4811756
chrV	4863073	4959022
chrV	4964423	5032733
